Index	Loss
436	1.872932
437	1.810483
438	1.736016
439	1.813086
440	1.342944
441	1.339377
442	1.733709
443	1.174985
444	1.924089
445	1.493654
446	1.317439
447	2.095848
448	1.156120
449	1.991768
450	1.150921
451	1.520387
452	1.602528
453	1.601031
454	1.110953
455	1.865837
456	1.393966
457	2.008789
458	1.699458
459	1.624645
460	1.482595
461	1.767977
462	1.994435
463	1.490240
464	1.242393
465	1.554290
466	1.503507
467	1.187333
468	1.100553
469	1.364432
470	1.238677
471	2.061919
472	1.772256
473	1.797541
474	1.591901
475	1.881651
476	1.428472
477	1.330117
478	1.819805
479	1.913396
480	2.093424
481	1.843649
482	1.670004
483	1.568235
484	1.565589
485	1.352010
486	1.713559
487	2.223157
488	1.385075
489	1.491695
490	1.940072
491	1.685951
492	1.134217
493	1.783856
494	1.288385
495	1.240539
496	1.757843
497	2.126873
498	1.395021
499	1.951262
500	1.377067
501	1.620797
502	1.249152
503	2.164187
504	1.767974
505	1.517333
506	1.617130
507	1.903263
508	1.733903
509	1.224010
510	1.959945
511	1.507802
512	1.812498
513	1.935174
514	1.266260
515	1.641285
516	1.647661
517	2.093374
518	1.256895
519	1.504137
520	1.300322
521	1.313029
522	1.568963
523	1.542585
524	1.541808
525	1.612829
526	1.800866
527	1.421327
528	1.716627
529	2.251554
530	1.781502
531	1.951027
532	1.855034
533	1.264488
534	1.710781
535	1.932841
536	1.294651
537	1.657239
538	1.510528
539	1.632988
540	1.403499
541	1.701326
542	1.204690
543	1.896670
544	1.411320
545	1.685789
546	1.619549
547	1.714335
548	1.505758
549	1.985097
550	1.840982
551	1.437436
552	1.359557
553	1.546715
554	1.321272
555	1.473439
556	1.583766
557	1.260456
558	1.449285
559	1.575222
560	1.618217
561	1.228969
562	1.467736
563	1.408530
564	1.723852
565	1.684684
566	1.925968
567	1.537851
568	1.159156
569	1.747419
570	1.890494
571	1.643070
572	1.486965
573	1.832455
574	1.522887
575	1.425652
576	1.595042
577	1.759470
578	1.217376
579	1.801392
580	1.777724
581	1.585129
582	1.666619
583	1.362545
584	1.574426
585	1.442056
586	2.521115
587	1.998979
588	1.512493
589	2.002616
590	1.480218
591	1.266075
592	1.806909
593	1.623596
594	1.975320
595	1.715313
596	1.783010
597	1.793824
598	1.502229
599	1.372079
600	1.821295
601	1.477492
602	1.858638
603	1.648881
604	1.211854
605	1.777553
606	1.646063
607	1.458169
608	1.688012
609	1.866620
610	1.771693
611	1.485146
612	1.199118
613	1.784053
614	1.434491
615	2.062356
616	2.179763
617	1.507447
618	1.828371
619	2.082804
620	1.242735
621	1.439721
622	1.588530
623	1.629053
