Index	Loss
745	1.745310
746	2.216642
747	1.812614
748	1.398152
749	1.554662
750	1.937801
751	1.417311
752	1.694649
753	2.012507
754	1.616987
755	1.540998
756	1.943374
757	1.496280
758	1.556580
759	1.933454
760	1.818788
761	1.833032
762	1.473975
763	1.873227
764	1.707654
765	1.709818
766	1.503565
767	1.473614
768	2.083330
769	1.663238
770	1.743037
771	1.784040
772	1.366493
773	1.921819
774	1.869606
775	1.612587
776	1.789396
777	1.719319
778	1.405216
779	1.597128
780	1.526784
781	1.512409
782	1.992297
783	1.470771
784	1.432352
785	1.476791
786	1.729405
787	1.891444
788	1.537710
789	1.759245
790	1.731339
791	1.494587
792	1.664406
793	1.911631
794	1.531435
795	1.419044
796	1.996677
797	1.583352
798	1.920597
799	1.788274
800	1.572008
801	1.811235
802	1.513147
803	1.561589
804	1.915744
805	1.532313
806	1.636963
807	1.525723
808	1.334655
809	1.530759
810	1.586946
811	2.025316
812	1.592345
813	1.570281
814	1.644732
815	1.914153
816	1.271271
817	1.602165
818	1.573537
819	2.011081
820	1.608670
821	1.479406
822	1.881093
823	1.698319
824	1.913692
825	1.338712
826	2.039692
827	1.446306
828	1.988093
829	1.590857
830	1.610441
831	1.630877
832	1.534681
833	1.463439
834	1.578906
835	2.006411
836	1.546397
837	1.975619
838	1.830300
839	1.622846
840	1.501626
841	1.521086
842	2.007173
843	1.675700
844	1.688652
845	1.575204
846	1.798380
847	1.531553
848	1.547084
849	1.421811
850	1.706873
851	1.686007
852	1.789178
853	1.502493
854	1.989238
855	1.599706
856	1.554569
857	1.822801
858	1.423202
859	1.763375
860	1.473687
861	1.723389
862	1.772505
863	1.410641
864	1.445678
865	1.623839
866	1.748027
867	1.403969
868	1.534190
869	1.705434
870	1.452049
871	1.898113
872	2.130476
873	1.507280
874	1.494268
875	1.783239
876	1.702151
877	1.566630
878	1.513279
879	1.879682
880	1.614270
881	1.188861
882	1.487993
883	1.591530
884	1.945621
885	1.440189
886	1.860048
887	1.696067
888	1.873529
889	1.477530
890	1.442918
891	1.594004
892	1.810887
893	1.718315
894	1.617368
895	1.761253
896	1.540527
897	1.749295
898	1.676734
899	1.438019
900	2.021370
901	1.547679
902	1.562697
903	1.525875
904	1.492240
905	1.585442
906	1.600820
907	1.967713
908	1.626819
909	1.580778
910	1.597667
911	1.698326
912	1.526786
913	1.307536
914	1.681093
915	1.870784
916	1.789058
917	1.508120
918	1.487178
919	1.932756
920	1.557244
921	1.452858
922	1.999182
923	1.677148
924	1.921639
925	1.837746
926	1.848722
927	1.525091
928	1.672709
929	1.475510
930	1.690668
931	1.839338
932	1.844834
933	1.595006
934	1.705425
935	1.453826
936	2.055743
937	1.666751
938	1.529400
939	1.546617
940	1.795163
941	1.618279
942	1.635160
943	1.924093
944	1.575542
945	1.625487
946	1.397529
947	1.713246
948	1.579754
949	1.901182
950	1.762538
951	1.944844
952	1.883695
953	1.815615
954	1.384013
955	1.374917
956	1.883702
957	1.466878
958	1.776876
959	1.483258
960	1.629278
961	1.553994
962	1.786471
963	1.675233
964	1.909490
965	1.701953
966	1.614066
967	1.600686
968	1.963508
969	1.593930
970	1.836687
971	1.607213
972	1.651864
973	1.785291
974	1.622352
975	1.468106
976	1.569481
977	1.964594
978	1.562574
979	1.696181
980	1.740222
981	1.962435
982	1.850994
983	2.057143
984	1.854349
985	1.635282
986	1.366343
987	1.910634
988	1.707597
